,5 FLUOROURACIL 84 ugmL,A baumannii 5075,ACTINOMYCIN D 4 ugmL,ACTINOMYCIN D 6 ugmL,ADRIAMYCIN 6 ugmL,AZITHROMYCIN 0.4 ugmL,BENZAKONIUM CHLORIDE 20 ugmL,BENZAKONIUM CHLORIDE 40 ugmL,BLEOMYCIN 1.5 ugmL,BLEOMYCIN 3 ugmL,BLOOD AGAR 1,CAMP 0.2 uM,CCCP 0.05 ugmL,CCCP 0.075 ugmL,CEFSULODIN 3 ugmL,CEFSULODIN 6 ugmL,CHLORHEXIDINE 4 ugmL,CHLORHEXIDINE 7 ugmL,CIPROFLOXACIN 0.00025 ugmL,COPPER SULPHATE 20 ugmL,COPPER SULPHATE 50 ugmL,CYCLIC DI GMP 1 uM,DIBUCAINE 0.25 ugmL,DIMETHYL FUMARATE 0.6 ugmL,DMSO 2.5 ugmL,DMSO 5 ugmL,EDTA 1 mM,EGCG 120 ugmL,EGCG 75 ugmL,EGLA WATER DISINFECTANT 1.5 ugmL,EGLA WATER DISINFECTANT 2.5 ugmL,FOSFOMYCIN 25 ugmL,FOSFOMYCIN 45 ugmL,GENTAMYCIN 5 ugmL,GLYCOLIC ACID 0.25 ugmL,GLYCOLIC ACID 0.75,HYDROGEN PEROXIDE 1.8 mM,IMIDAZOLE 12 ugmL,IMIDAZOLE 24 ugmL,ISOPROPANOL 5 ugmL,K pneumoniae MKP 103,LOPERAMIDE 60 ugmL,LOPERAMIDE 80 ugmL,LYSOZYME 120 ugmL,M9 A KETOGLUTARATE 1,M9 GLYCEROL 1,M9 PROLINE 1,M9 PYRUVATE 1,MAGNESIUM CHLORIDE 10 mgmL,MAGNESIUM CHLORIDE 5 mgmL,METFORMIN 10 ugmL,METFORMIN 8 ugmL,METHOTREXATE 60 ugmL,MMS 1,MMS 1.5,N HEXANOYL L HOMOSERINE LACTONE 200 ugmL,NIGERICIN 200 ugmL,NO SALT LB with SUCROSE 0 mM,P aeruginosa 1,PROCAINE 1 ugmL,PROCAINE 1.5 ugmL,RIFAMPICIN 0.2 ugmL,SALT 0 mM,SDS 0.25,SODIUM BUTYRATE 50 ugmL,SODIUM BUTYRATE 70 ugmL,SODIUM CHOLATE 100 ugmL,SODIUM DEOXYCHOLATE 105 ugmL,SODIUM DEOXYCHOLATE 90 ugmL,SODIUM HYPOCHLORITE 0.75,SODIUM TAUROCHOLATE 40 ugmL,SODIUM TAUROCHOLATE 60 ugmL,SPECTINOMYCIN 12 ugmL,SPECTINOMYCIN 9 ugmL,STREPTOMYCIN 3 ugmL,STREPTOMYCIN 8 ugmL,TEMPERATURE 18,TEMPERATURE 25,TEMPERATURE 30,TRICLOSAN 70 ugmL,TRICLOSAN 90 ugmL,UREA 800 ugmL,UV 0.07 Joules,UV 0.1 Joules,UV 0.2 Joules,UV 0.5 Joules,V cholerae C 7606,VANILLIN AZITHROMYCIN 1,VANILLIN CIPROFLOXACIN 1,ZINC SULPHATE 150 ugmL,pH 6
VC1536 hypothetical protein  ,-3.124808905,-0.108454434,1.121073697,0.252066432,1.613688908,2.273695664,1.530626066,-0.718336339,0.585128371,1.08022588,1.517200847,-1.445147177,-1.258277899,0.883825124,-0.590333366,0.996301191,-0.959658714,-1.593053871,-0.778947335,0.704582411,-0.334634817,-0.789613838,1.127100661,1.282026368,-0.50978154,-1.806149452,-2.724837055,-1.442550519,-0.869722309,0.143332054,-0.922822701,-1.053236579,-2.687558417,-1.825659026,-0.118397215,0.480598201,0.064195553,0.937728188,1.589478478,-1.192617314,0.823905269,-0.125459654,2.628140891,1.270444562,0.566495257,-1.617391684,-0.299601456,-0.946905764,-0.927025294,-1.294060448,0.408926332,1.875158727,0.601699251,1.300481901,-0.08400181,0.772990117,-1.429962842,-0.852470251,0.461804633,0.669073254,0.201253737,1.579590292,-0.128619036,-1.926389627,0.455043868,0.85921141,-0.253617597,-0.222295064,0.384785029,1.384663832,0.795687027,1.592682438,-0.973566636,1.6644023,-0.577779447,-0.386381527,2.339642254,1.105569454,0.428705991,-0.84468353,-1.701883799,0.221433693,0.95508048,0.07567901,0.721422429,-0.178275892,-0.390961534,,-0.987268925,-0.243763073,0.972087024
VC1537 lipoprotein NlpC nlpC Cell envelope,-0.042038158,0.478985976,0.489419879,-0.213480014,-0.306126395,-1.159841491,0.403318016,-0.329776316,-0.130336959,1.396905714,0.28841984,0.282404389,-0.828433998,-0.499603089,0.105101078,0.098793864,0.646031744,-0.279114175,-1.289251771,1.099250752,0.274002375,0.393828132,0.885266098,1.419441241,-0.318830108,-0.776891576,-0.707355257,-0.149539824,-0.77724595,-0.040201583,0.337266681,-0.784786205,0.019048596,0.220748133,1.20385758,0.263721585,-0.487853119,-1.698734571,1.099375031,0.202979484,0.447477277,0.875276524,-0.352512889,1.020612377,-0.094996254,-0.896851758,-0.992351056,0.599393291,-1.404925177,1.531681423,-0.308929505,0.482140965,0.516880977,0.92894485,1.649723355,0.291655362,1.24687634,0.508233716,-0.436867062,0.144554415,-0.298615119,0.377951447,0.02911154,-0.473797213,0.038855094,-1.768706255,-0.897261265,0.536191687,-0.589459287,1.386272645,0.381044838,-0.066582817,1.050622096,-0.15264236,1.460775692,-0.33763033,0.67644545,1.066719971,-0.021622037,-0.239681234,-1.093448885,-0.444640425,0.278677071,1.133243524,-1.854976143,-0.294043055,-0.43218423,,0.087014741,0.906811705,0.104763007
VC1539 conserved hypothetical protein  Hypothetical proteins,-0.135757208,1.59234241,-0.245814234,0.682428883,-0.351750401,-1.00803204,1.124146885,0.732349329,-0.173185471,-0.617383038,-1.31335706,0.331954217,0.775287191,-1.100438205,-1.110704557,1.031994345,0.475118212,-0.29389256,-1.51343055,-0.029249776,-0.397408197,-3.475629459,0.735491649,-2.057080624,-0.31769299,0.858461007,-0.477480997,1.008408388,1.744908521,-0.794724142,-0.793983141,-0.719567828,-0.446292246,-0.978924579,-0.772754506,1.327810308,-0.179687897,-1.737356617,-1.12782081,0.520726267,1.775294336,1.310976633,0.376768958,0.777377922,-0.087377937,-0.846062374,-0.320746408,0.12163092,-0.421588276,0.487418596,-0.309073497,0.935359037,-0.226186711,0.461269769,0.635282422,0.616584519,-0.392129376,-0.095830165,2.328050284,1.45204581,0.757891431,-0.127312013,-0.789799687,0.837217115,1.296710258,1.24082777,-1.681833206,0.370182469,0.242090583,-0.845088333,0.577961322,0.141203271,-1.623803589,-0.166204168,0.622270218,-0.039309042,0.232169135,0.720345876,-0.193858545,-0.537114808,-1.221000819,-0.365866606,1.289434425,-0.763970918,-0.21647732,0.546847859,-0.126100196,,0.382084204,-1.172244436,-0.204411606
"VC1540 multidrug resistance protein NorM, putative  Transport and binding proteins",0.498245944,0.355453001,-0.607701311,0.722834949,0.020549134,-1.468370561,-0.127611504,0.652798855,-1.02299889,-0.884421774,1.396661233,-1.562672084,0.70911188,0.649469988,1.639386568,-1.33336633,-0.61943569,-0.005031753,0.764073325,-0.192932718,-1.172934533,-0.244422388,0.546591575,0.023930822,0.641017927,1.285897985,1.381849122,0.300228152,1.629340406,-1.050878513,-1.735634259,0.395800749,2.429562234,0.121157038,-0.71891034,-0.162634433,0.995647724,1.397698153,-0.292383248,1.228836294,0.474968796,-0.002348001,-0.878852215,-0.241145645,1.574217467,-0.768369439,0.453631457,-1.609126481,1.725817772,0.424517473,0.431573475,-0.277472502,-1.393244884,-0.229868289,0.424270515,-0.415943861,-0.926893676,-0.801529894,-0.62106554,-0.008987624,-0.065798594,-2.364053781,-0.226357766,-1.407184938,1.206257409,0.959253777,0.185566658,0.278245654,0.283787903,-1.231708912,-0.809006288,-0.781194208,0.209840409,-1.391907949,-0.724678889,1.184399258,-1.304985529,-0.944501839,0.375634599,1.325002906,2.049844221,1.098922051,0.787873573,0.034377634,-0.97160427,-0.214945393,-1.859674595,,1.037293001,-1.590700755,-0.370362652
VC1541 hypothetical protein  ,0.203952186,-0.319248335,-0.450942398,-0.719382903,0.95419157,-0.161882398,0.841100454,1.435703809,1.593621834,0.261868507,1.586215016,1.656200366,-0.476046731,-0.46247875,-0.059411677,0.353693573,1.437969251,0.971282999,1.064276999,-0.184373903,-1.014510822,-0.608649288,-0.316553556,-0.968465739,-0.350382286,-0.895043595,-0.023696872,0.347645416,-0.461170408,-0.268002763,-1.103892254,0.21994656,-0.541143052,-1.007490735,0.610321438,-0.045934264,1.195565924,0.285942875,-1.394583026,-0.012778384,-1.333099331,-0.104356641,-1.080080398,-0.067777135,-0.044214136,0.426397469,-0.249219336,-0.605998246,-0.845939527,-1.348765383,-1.648834458,-1.316296087,-0.068293146,-0.774052743,0.323611159,-0.953391027,-0.527187258,-0.046989744,-0.059431317,1.861833403,1.538256881,0.327133459,-0.798263509,0.395800347,1.484185039,1.800943783,0.74375235,0.224592847,0.424483053,-0.218807444,0.128442599,-0.430673719,1.262688485,-0.204291508,0.585133065,0.882379235,1.268050991,0.63829986,1.911411201,0.029419779,1.319511578,-1.026833583,1.301345603,-0.774277173,-1.921178179,-0.748514287,-1.834492051,,0.072704626,-0.523589586,-0.318630962
VC1542 DNA ligase ligA-2 DNA metabolism,0.27346367,0.968906733,-0.197837578,-1.107469222,0.94178793,0.328601817,0.958615839,1.068696314,0.657006227,-0.374940472,3.213011736,1.171765491,1.807864434,-0.708843783,-0.239252855,-0.152877333,0.066824383,0.081416109,0.24100463,0.252034496,-0.724860065,-0.554289919,-0.114483659,-0.192540924,-0.026221321,-1.460916938,-1.740647229,-1.011886669,0.564850093,-0.809641799,-0.847452313,0.737715424,-0.402599682,-0.117606884,0.151734595,1.362882335,0.966869398,-0.289981308,-0.846137221,-0.210005472,1.107432311,-0.700093871,-1.006868885,-1.857700024,-1.256183862,-0.27771048,-0.174882268,-0.579770134,-1.990071852,0.150436154,-0.633402362,0.54106586,0.401486388,0.077575943,-0.341276959,-1.531601215,-0.507196128,1.394654999,-2.097694202,-0.022174893,0.074643115,-0.147062218,-0.066003006,-0.168994419,2.580762609,1.647902081,-0.270632823,0.658735655,2.198927231,0.690778852,-0.625448364,-1.532976313,0.264780209,-0.587979745,-1.181166673,0.762612356,3.800897684,1.994506,1.380225616,1.208973193,1.467448191,-0.441982791,3.187706449,0.391445118,-0.528482628,0.840757766,-1.877977378,,0.28788631,-1.964157737,-1.676509051
VC1543 hypothetical protein  ,-1.07078832,0.124427806,1.39532492,0.294561768,-0.343606619,0.153769722,0.236780988,0.44563973,-0.029766309,-0.635840442,0.246413463,-0.019664583,0.471175027,-0.874653242,-0.162670546,-1.100482056,0.314935417,-0.326812828,0.12477267,0.21637084,-0.668602655,-1.124372417,0.762902099,-0.008369658,0.524016681,-0.16836008,-1.108634702,0.169873539,-0.960014043,1.040982712,-1.704177245,0.176183263,0.14260856,-0.112604667,-0.456053794,-1.74020562,0.744106391,-0.445379642,0.482019991,-0.87601819,-0.781106603,1.130686493,-1.099298441,0.548139774,0.123007443,-0.270391429,0.389175204,0.233793391,0.017035939,0.152165969,0.70010921,0.920992452,0.132618348,0.324363965,-0.106289403,-0.268779316,0.09219195,0.669676686,0.251569415,-1.209286641,0.547920684,1.483919233,0.371601462,0.390086375,0.321012359,0.042883359,-0.710248634,-0.216024614,-0.194006788,-0.329034294,0.038599487,0.280569513,-0.255743301,0.32059006,0.049201113,0.396822443,1.768511913,1.112965898,0.281576394,-1.685224688,-0.421503002,-0.526881967,0.683521676,0.144676266,-1.094160326,0.803453605,-0.206804237,0.13183541,-0.09621475,0.158082505,0.052807552
VC1544 tonB2 protein tonB2 Transport and binding proteins,0.349427486,0.437018812,-0.303779021,0.473421192,-0.845007496,-0.272794573,-0.134385589,0.041596014,-0.05590716,-0.306896143,-0.253265414,0.006838785,-0.363186789,0.292151622,-0.404598016,0.400950637,-0.275039542,-0.454346036,-0.010197165,-0.860999493,-1.353320231,-0.986178371,-0.3946933,-1.269282052,0.34516619,-1.73520028,-0.31113449,1.217802874,1.72899766,-0.531734412,-0.272723084,-0.212859402,0.934062677,0.548964756,-0.105744162,-0.310317404,1.069609243,-1.189588592,-0.787149457,-0.019520909,0.008052453,0.102138611,1.392751102,-1.169102985,0.712122977,0.068503548,0.609293897,0.575848989,0.014034877,-1.44181247,0.695126408,-0.040278639,-2.12906566,0.276136245,0.639454789,-0.684069848,-0.121887399,-1.003936527,0.067904418,0.644365954,0.080994642,1.192585116,-0.764623639,-0.986079106,0.193421729,-0.002099134,0.085787617,-0.498138528,-0.243166871,-0.756143248,-0.262473641,0.958816405,0.491517239,-0.550700564,-1.669910741,0.250201003,0.27150841,0.952144835,0.943303487,0.236914563,-0.462635744,-0.022542716,1.396238685,0.956311317,-0.512570736,0.309547317,-0.710599722,0.961253322,-0.14187267,-2.235536297,-0.652932381
VC1545 TonB system transport protein ExbD2 exbD2 Transport and binding proteins,2.661004913,0.742245348,-0.444532463,0.129546647,-2.165360446,-0.771306644,-1.369602364,-1.378035633,2.149172653,2.224746855,1.840983199,0.297789486,0.698250703,0.42491131,-0.264032137,-0.695333197,-0.476904323,-0.47153635,1.518920231,-1.024088089,-1.232598003,0.841421126,-2.034104103,-0.119995943,0.23417547,0.919538766,3.274435918,-0.564537122,-0.132580923,-0.304027369,0.382303386,-0.08362705,-0.246910628,0.890798728,1.559300883,-0.752014913,-1.400995713,0.755009428,-1.577712289,2.48562809,-0.420455431,-0.893853977,0.566365661,0.824935271,2.36294926,0.258525444,4.039577274,-0.289779839,0.548511646,0.978138815,0.385710172,0.37274231,-0.439927061,-1.064753131,-0.505444496,-2.482435135,0.687735959,2.233651495,-0.908244701,-0.276101869,-0.434409801,-0.10685095,4.996631361,1.212777963,-0.11161834,-0.766900399,-0.276087992,-1.515141874,-0.542807628,-0.193783754,-0.216983407,-1.400660443,-0.633354524,-0.822953359,-0.502029035,1.056931516,0.913157179,-0.96168514,-3.238984217,1.572407822,1.832126186,-1.40662569,-1.707957064,-0.620645542,-0.308735953,0.242880163,-1.229491138,,-0.846476432,-0.430737738,0.301721812
VC1546 TonB system transport protein ExbB2 exbB2 Transport and binding proteins,1.996021948,3.020436867,2.61447956,-2.46297984,1.385282099,-2.134943338,0.871319871,1.421702424,-3.811792097,-2.807041956,5.386201078,2.386308579,-3.938226829,-1.429207447,0.214338507,-0.478810832,1.313859436,1.493711963,-1.045607117,1.160859262,1.056886194,-0.171966686,1.54099257,2.285254052,0.969921222,0.961308181,2.182934696,0.933279217,1.292257569,0.899542657,2.050971233,-1.339066934,1.374573537,-0.443680189,1.379011236,0.361745699,-6.657881264,1.926303983,0.846319492,0.543851957,3.318740635,-2.116363452,-1.752423758,-0.295714537,3.326181007,-0.264603621,1.832702532,1.230938714,-0.369197397,1.538777623,-1.565127485,-3.523672829,1.076148662,3.705139313,1.829830732,2.221850127,-1.397686243,-2.064840129,-2.596738095,0.988809102,0.080189482,-6.614702338,-2.319757495,-9.55298381,-2.806778266,-3.819879678,-2.280993788,-0.999942075,-2.213071903,-1.632775566,-1.274065576,-1.677767329,0.10091949,-4.021466451,-1.957115252,-1.88865955,0.120491589,-0.876840704,-0.886642786,-0.766515289,-0.348603396,-2.390074832,-1.169093413,-3.30862034,0.972782986,-0.542968977,0.873483948,-3.591333728,-0.148658589,-1.652492551,2.249770804
VC1547 biopolymer transport protein ExbB-related protein  Transport and binding proteins,4.142068624,-1.149176731,0.758516277,-0.351119581,0.157506686,2.771425891,-1.403533989,-1.443572321,1.380144758,1.337848515,1.264557581,1.163868075,0.948447105,0.721308312,0.465987722,-0.660194546,0.853797716,1.853005565,2.924369671,-1.429581176,-1.035558251,2.501843817,-1.637441621,1.074168988,2.100431546,2.508697281,0.971965363,0.53720179,-0.794482653,0.422874668,1.128018648,0.853125541,3.466312017,4.979783624,0.353280209,-0.532376687,-2.588950717,0.638006267,0.639906717,1.233254213,1.448613983,-1.016378211,-0.829996782,2.194963527,-0.847794418,-2.264803276,-1.956647447,-0.217705268,0.280376407,-0.3029664,-0.244320897,-1.049153627,1.292153961,-0.091173056,-1.706394099,-0.223677523,1.005728133,0.719969615,-1.33450906,-2.877289915,-2.72019003,-0.523814339,0.413161975,0.375497996,-1.242289725,-0.838582492,0.180956474,-0.942246448,-1.675528225,-3.010113265,-0.859488707,-1.527816389,2.489072191,1.396894773,-3.953887489,-1.798239592,-0.015606616,1.271345154,-0.025483797,2.2733373,2.244436639,0.334929411,-0.279725173,-0.312004341,1.476198392,1.25670273,1.103634096,,-0.351458132,-1.879337041,-2.195319008
VC1548 hypothetical protein  ,-3.800371771,-0.730630128,0.480419675,-1.269542063,-0.358354758,-1.907119494,0.188337104,0.366564224,-1.286140715,0.407026752,2.818542386,0.97207228,2.95704211,1.600590631,1.365720021,2.021705302,1.017770408,2.245656745,1.98127608,1.073234294,1.200197442,3.638965022,0.918444855,2.887754339,-3.7697588,-1.580237222,-2.281239881,-0.11303914,-1.658437822,1.822201042,0.349618996,-0.585339523,-1.140526664,0.360771115,0.790521083,0.834493832,-1.234091406,1.250967705,1.411135759,-0.048481669,3.758460269,-0.849883347,-0.904295518,-1.958278499,-2.861248654,-1.317735027,-3.258105913,-2.343498998,-3.943131817,-3.763281741,-0.067419537,-0.408518401,1.184150511,-0.457102671,0.566483866,-3.946313994,1.079928204,-0.330807761,-0.012587278,0.606188044,-0.711014569,1.774628171,0.542773385,-3.340937511,0.080246909,-0.497439111,1.851603785,2.78410644,4.595080097,1.993642642,-2.676695913,-2.709802278,1.543140376,-1.674080865,-1.108348015,-1.590162388,5.15694418,1.83269592,1.634592176,-1.264952293,-1.124828936,1.250965703,1.998829429,-0.21836276,0.772787041,1.488449841,0.656479034,,0.689173575,2.194198072,-0.65441684
"VC1549 glycerol-3-phosphate ABC transporter, periplasmic glycerol-3-phosphate-binding protein ugpB Transport and binding proteins",1.141291173,-0.2226502,-0.251759774,0.928532142,0.144373582,0.460639855,-0.575428112,0.874457681,0.773058402,0.286860193,0.595784906,-0.417299274,1.370409356,-0.771380659,-0.193335903,0.036617978,-0.577843285,-0.536404965,0.432567435,-1.5096219,-1.099182875,-1.401901807,0.136415713,-0.481552376,-0.57323934,-2.121900969,0.260085865,-0.641640491,0.06230019,-0.476723428,-0.83820415,0.03310371,0.296054228,0.627664163,1.129340962,0.157673105,1.49017208,0.554501397,-1.25102922,1.650852724,1.160844656,-0.119441718,-1.003400248,-0.722716183,1.317355401,-1.516707841,0.854626518,-1.295304668,-0.026357021,0.884336101,-1.369656312,0.552520576,-0.530133785,-0.015258006,-0.510236657,-0.370970354,-0.270819967,-1.32095174,0.290303239,0.337482748,1.083025853,0.143855015,1.017014624,1.033792665,2.234461296,1.821929398,-1.106964483,-0.947370573,0.590300252,-0.321866766,0.598675518,-0.596182578,0.10695078,-0.610811726,-0.130028916,0.935764044,-0.681115225,-0.40207931,0.246164413,0.771514854,1.698175687,-0.410252659,0.756950999,0.655753621,-0.452977463,0.858509653,-1.173471077,,-0.068574357,-2.597807822,-1.46384988
"VC1550 glycerol-3-phosphate ABC transporter, permease protein ugpA Transport and binding proteins",0.024377148,-0.856061179,0.006268887,-0.215265235,0.247138459,1.166308303,1.41120421,0.978110516,1.125662828,1.330162913,-0.010253194,1.715591584,0.219237766,0.421441719,-1.246320263,-1.495201644,-0.247869935,-0.529573734,1.684590264,-0.125031419,0.47324516,1.698741164,0.587652436,0.743546281,1.151885113,-0.173000616,0.246168075,-0.005230677,0.540953113,-0.079778566,-0.407161428,1.781638129,0.793706216,0.127542671,-0.155163371,0.430982022,0.22169678,0.256979884,1.061125932,0.112100658,-0.677102079,0.492661782,-0.304655115,-1.175591979,-0.265976179,0.169435215,-0.610827463,-1.201514125,0.42143939,0.028147865,-0.371160955,0.253282616,-1.402791269,-0.073173011,0.15746016,1.018370855,-0.286081722,-0.549406055,0.294875974,-0.470492725,-0.122191773,3.528085287,-1.656518177,1.2653124,1.887922882,0.686928738,0.532814082,0.056330684,0.573481386,1.79431708,1.024643883,0.852372289,-0.996855359,1.243307836,1.079576414,0.544011395,-0.326911326,0.403737333,0.482122874,-0.796623976,-3.426909163,-0.922112162,0.575039663,2.368590243,-1.072107542,0.591157343,1.156415644,-0.463787787,-0.475955224,0.265677775,0.700679575
"VC1551 glycerol-3-phosphate ABC transporter, permease protein ugpE Transport and binding proteins",0.131031803,0.294996776,-0.310354507,-0.388142766,0.466452163,-0.028067757,0.269577767,0.142593125,0.943041623,0.109077368,1.663813947,-0.584983383,1.242095344,-0.380130733,-0.182508873,1.174977957,-1.122663945,-1.765719643,-0.551407577,3.195045287,0.218825124,-0.772300987,1.66382777,1.33633277,-0.374975007,-1.009578364,-0.694656811,-0.994076362,-1.527677037,-1.252929394,-0.348850766,-0.728319694,-0.626327824,-2.699301334,0.3153615,0.571962143,-0.070499233,0.191521652,1.816745297,0.397674916,1.538578052,1.19820972,-0.3946812,-1.023837254,-0.158635523,-0.550717618,2.935838804,0.635981692,-1.210310363,1.500587172,-1.122962716,1.080239755,0.654322366,0.854048527,0.768037302,-0.114597435,-0.31021874,0.747048247,-0.895055564,1.693878646,0.926723252,-0.207411899,0.830388132,-0.910420672,-1.411724897,-0.673336462,-1.567536609,-0.841370799,1.033337763,1.141354244,-0.801124336,0.649388615,-0.927738395,-0.189938694,-0.099498527,-0.0938574,0.733313837,0.691532661,0.667466584,-1.091039106,-1.535120359,-0.528879738,0.652943343,-0.079472831,1.297755573,-0.443686863,0.62590254,-0.945142082,-2.167866597,0.028799146,0.116937421
"VC1552 glycerol-3-phosphate ABC transporter, ATP-binding protein ugpC Transport and binding proteins",-0.323700062,0.200985909,1.115803984,0.555281936,0.70314366,-0.205638621,0.42713339,0.42559296,0.285357709,0.138293882,2.265239191,1.066463029,0.110159638,-0.004925761,-0.027371242,-1.03796838,-0.030170983,-1.313004876,-0.712692222,2.8233353,1.081688772,1.766562491,1.393866587,0.545525357,-0.90329451,-0.172569817,-0.548370594,-0.872350413,-0.196407186,0.204696925,-0.239912439,-0.241022999,1.03471516,-0.916507087,1.597267455,-0.86076501,0.188976179,1.211308056,-0.606849823,1.010037545,1.886992177,0.111644697,-1.553414404,1.01166682,0.203137452,-0.299079028,0.410689675,1.320836796,0.229348251,0.248848571,-1.672420717,-0.429703023,-0.200879929,1.563428661,0.161365771,-0.48457728,-1.242615598,-0.920586225,0.26855707,0.944461968,-0.726630033,0.11323199,0.897455927,-0.209254846,0.31879329,0.450585658,-0.975397246,-0.379487574,1.431766353,-0.142234578,-0.044822812,-1.662478743,0.08339419,-0.149433112,-0.626911826,-0.370834647,0.368734527,-0.718318114,-0.401994831,-0.563082362,-2.086109641,0.353239668,-0.19851735,0.373749137,0.634008215,-0.517968246,2.161754284,-0.003454027,-0.990550448,0.730396442,1.137994515
VC1553 glycerol-3-phosphate regulon repressor glpR Regulatory functions,-0.143119935,0.618733905,0.026652348,-0.744581818,0.532995684,0.88254354,0.551429668,-0.208835101,0.892513641,0.967289211,1.034748799,1.38552246,-1.155527546,-1.229818592,-0.29744423,0.187997531,0.178220303,-0.293218242,-1.49416496,0.294334372,-0.401131486,1.108952941,1.665283806,0.759794381,-1.11363952,0.454353354,-0.286124472,0.710208662,0.124403259,-0.049314816,-0.026175781,-0.458999007,-0.20809418,-0.171709082,0.182277706,-1.268408671,0.789625977,0.809518941,-1.207096595,-0.300717,1.723171458,1.127957402,-0.328202743,0.437488485,-0.889175803,-1.144194302,0.563620714,-0.510058458,0.882515734,-0.568432414,-0.671759126,0.139087901,2.278584925,0.314519289,-0.128933827,0.220233604,-0.846196772,-0.197533364,1.348479124,0.231918154,0.113832871,-0.314694094,-2.75274834,-3.228347184,0.469200146,0.478903278,-2.236147066,-0.652471215,-0.100331899,0.533863643,-0.597999227,-0.418487749,0.057200551,-0.999759085,-0.000308475,-0.803267297,0.220085172,-0.291882484,-1.447898735,0.792574842,-1.710086199,0.008177156,-0.044020798,-1.014768818,1.204542015,1.076927043,-2.122937984,-5.161932937,-0.24376082,-0.088499786,-1.685707892
"VC1554 glycerophosphoryl diester phosphodiesterase, putative  Energy metabolism",0.666438486,-2.06479941,-0.364460088,1.958361975,-0.344308394,-1.557900782,-1.583566678,-1.629914764,0.431655848,0.218931119,-1.357129806,-0.832119398,0.687802404,-0.52268242,-1.656195235,1.988311819,0.650952388,0.07348464,1.527184947,0.400398955,0.015918855,0.097811961,-1.174585058,-0.608160805,-1.932024496,-0.394038674,0.603051831,0.8011827,0.525894065,1.003814231,2.256411312,1.729286483,-0.00872717,1.311464838,-0.949383796,1.253087062,1.490932267,0.081247028,0.057785525,1.895482598,0.192247098,-2.684313024,-0.703575209,0.424046778,0.643587434,1.854466961,0.070785903,0.192221534,-0.332498249,-1.09247275,0.749566929,-2.402683324,-0.978962398,-0.578361145,-0.737899712,0.197406863,0.517873939,0.113484306,-0.255593328,0.834679511,-0.260816134,1.92014205,-0.762742701,0.235238379,1.136379794,2.224266576,0.444189896,0.091035379,-1.100983771,0.061409749,-1.721693377,-0.524102437,-2.167532847,-0.369992882,-0.002297151,-1.033308419,-2.720964656,-1.752446631,-0.671894563,-0.831389725,0.027507556,-1.393020718,-0.879790631,-1.63502204,1.972848289,3.313202604,-2.17041277,-0.344857673,-0.015822105,2.387051838,1.48131768
VC1555 conserved hypothetical protein  Hypothetical proteins,1.613947171,0.653240628,0.586987114,-1.189017236,-0.061076758,-0.233015169,-0.484302652,0.437107656,-1.592757369,-1.49565258,-1.153293903,1.919935057,-0.03857956,-0.822956389,0.737411988,-0.553695304,0.626719487,0.527079755,0.141001289,1.475229769,-0.642161646,1.624115116,-0.609235996,0.205734885,-0.795686186,1.03016149,-0.274161085,2.54826735,2.886565458,0.855504432,1.012235379,1.973234182,-0.546362253,-7.502329944,0.424163868,0.574597879,0.400859014,0.723229259,-0.055449492,-0.580955824,1.342010546,-0.07526327,-0.503774894,1.01041027,-0.592310549,1.184048805,0.003302196,2.695816922,0.741364072,0.676387286,1.147363945,-0.572401558,1.724648877,-0.438300287,-0.259172329,0.712323589,2.664485255,-0.788942853,1.08570648,-1.152516034,-1.307886103,-1.304989197,0.037352274,-1.621591154,-1.83635747,-0.274899607,0.379096123,-0.742015013,-0.763039687,-1.897669719,-0.919822718,-0.172195473,-3.010288497,-0.47398071,-0.517671788,-1.27146141,-0.871685801,-0.797521887,-0.800635575,-0.354180427,-0.00255207,-0.768876755,-0.99089731,2.100364874,0.576845922,0.955918537,1.980957371,-0.186024718,-0.480295554,1.308392259,0.735458786
VC1556 conserved hypothetical protein  Hypothetical proteins,-0.241123694,1.401931416,-0.951199702,0.822634045,-0.268462639,-0.085145283,-1.581074058,-1.305543897,-0.745512197,-0.316094788,0.331323912,-0.449404157,-0.798607729,-0.612948707,1.103901846,-0.968340391,-0.5184064,-0.9274653,0.697577096,0.203447924,0.575313815,0.481791143,-0.33443091,1.601744127,1.326597697,0.428896113,1.145001164,1.851409766,0.047747952,-1.197417856,0.497980983,-0.550059285,0.140444323,-0.080615985,2.276893619,-0.012019251,-0.173264711,-0.191725047,-0.705401611,0.452838765,-0.046766628,-0.211914674,-0.208014185,0.280600464,0.451165238,-0.184739455,-0.187762945,0.175651095,1.299331476,-0.139177237,-1.227267583,-0.169852469,-0.242340872,-0.432785622,-0.180034091,0.31079418,-0.373514943,-0.991878528,2.247416242,-1.672980557,0.586879221,0.452703333,0.613566662,0.242773618,0.667849855,-0.465144411,-2.656827225,-1.226176605,-1.040999548,0.149239959,-0.95384077,0.619381783,-0.636294555,0.830583751,0.30198333,0.162868992,-0.225362935,0.410121091,0.472669249,-0.026871424,-0.574718117,-1.148335066,0.897311267,1.681593697,-0.006061682,0.569200781,-0.372388236,-0.366667513,1.140618963,0.053043843,0.037171997
